PropertyLocation,LandValue,CENTER_LAT,CENTER_LON,Location 1
,126480000,34.06669885,-118.3925476,"(34.06669885, -118.39254759)"
3000 OLYMPIC BLVD  SANTA MONICA CA  90404,124440000,34.0300998,-118.4626387,"(34.0300998, -118.4626387)"
3900 LANKERSHIM BLVD  LOS ANGELES CA  90068,122757660,34.13887632,-118.3542587,"(34.13887632, -118.35425865)"
268 N RODEO DR  BEVERLY HILLS CA  90210,120104853,34.06758553,-118.4008311,"(34.06758553, -118.40083112)"
1681 26TH ST  SANTA MONICA CA  90404,119674482,34.02918124,-118.4679858,"(34.02918124, -118.46798583)"
,119058732,33.90920334,-118.4048495,"(33.90920334, -118.40484951)"
420 N RODEO DR  BEVERLY HILLS CA  90210,116732880,34.069854,-118.4030994,"(34.069854, -118.40309942)"
1328 22ND ST  SANTA MONICA CA  90404,115637239,34.0306721,-118.4793241,"(34.0306721, -118.47932409)"
408 N RODEO DR  BEVERLY HILLS CA  90210,112598490,34.06964199,-118.4028892,"(34.06964199, -118.40288923)"
10202 WASHINGTON BLVD  CULVER CITY CA  90232,111787491,34.01751949,-118.4015895,"(34.01751949, -118.40158945)"
347 N RODEO DR  BEVERLY HILLS CA  90210,106485123,34.06846861,-118.4027303,"(34.06846861, -118.40273025)"
1250 CAPRI  LOS ANGELES CA  90020,106077636,34.04625416,-118.5021161,"(34.04625416, -118.50211611)"
456 N RODEO DR  BEVERLY HILLS CA  90210,104040000,34.0704903,-118.4037302,"(34.0704903, -118.40373022)"
,103956340,34.08151578,-118.4139176,"(34.08151578, -118.41391758)"
12777 W JEFFERSON BLVD  LOS ANGELES CA  90066,103680021,33.97858508,-118.4181288,"(33.97858508, -118.41812877)"
10830 W PICO BLVD  LOS ANGELES CA  90064,102000000,34.03985134,-118.4267832,"(34.03985134, -118.42678321)"
9340 SANTA MONICA BLVD  BEVERLY HILLS CA  90210,102000000,34.0744256,-118.39789,"(34.0744256, -118.39788997)"
10236 CHARING CROSS RD  LOS ANGELES CA  90024,100814760,34.07659853,-118.4297199,"(34.07659853, -118.42971988)"
15800 ROSCOE BLVD  LOS ANGELES CA  91406,95568137,34.21951974,-118.478954,"(34.21951974, -118.478954)"
27600 PACIFIC COAST HWY  MALIBU CA  90265,93000000,34.02461978,-118.7750612,"(34.02461978, -118.77506125)"
457 N RODEO DR  BEVERLY HILLS CA  90210,91800000,34.07008119,-118.4043288,"(34.07008119, -118.40432881)"
,91679004,33.97797071,-118.410149,"(33.97797071, -118.41014902)"
8700 PERSHING DR  LOS ANGELES CA  90293,89939391,33.95508076,-118.4406936,"(33.95508076, -118.44069355)"
5750 MESMER AVENUE  LOS ANGELES CA  90230,89235706,33.98434784,-118.3984074,"(33.98434784, -118.39840741)"
1600 ROSECRANS AVE  MANHATTAN BEACH CA  90266,88748000,33.89858231,-118.3840909,"(33.89858231, -118.38409086)"
2049 CENTURY PARK E  LOS ANGELES CA  90067,85408840,34.05865076,-118.4129411,"(34.05865076, -118.41294115)"
2029 CENTURY PARK E  LOS ANGELES CA  90067,85408840,34.05957756,-118.4137527,"(34.05957756, -118.4137527)"
8631 W 3RD ST  LOS ANGELES CA  90048,85400505,34.07408127,-118.3806225,"(34.07408127, -118.38062249)"
2700 COLORADO AVE  SANTA MONICA CA  90404,84896640,34.03137375,-118.4697278,"(34.03137375, -118.4697278)"
1999 AVENUE OF THE STARS  LOS ANGELES CA  90067,84240120,34.05880769,-118.4169793,"(34.05880769, -118.41697934)"
10 UNIVERSAL CITY PLZ  UNIVERSAL CITY CA  91608,84061706,34.13789749,-118.3613052,"(34.13789749, -118.36130524)"
350 N CAROLWOOD DR  LOS ANGELES CA  90077,82418825,34.08566572,-118.4279835,"(34.08566572, -118.42798352)"
3330 OCEAN PARK BLVD  SANTA MONICA CA  90405,78540000,34.02016746,-118.4501434,"(34.02016746, -118.4501434)"
2700 NEILSON WAY  SANTA MONICA CA  90405,77408592,33.99981739,-118.4830905,"(33.99981739, -118.48309047)"
10880 WILSHIRE BLVD  LOS ANGELES CA  90024,75770251,34.05847204,-118.4429211,"(34.05847204, -118.44292112)"
594 S MAPLETON DR  LOS ANGELES CA  90024,75000000,34.07327805,-118.4282324,"(34.07327805, -118.42823242)"
345 N MAPLE DR  BEVERLY HILLS CA  90210,74997349,34.07458692,-118.3941762,"(34.07458692, -118.39417624)"
